,철도운영기관명,운영노선,역명(한글),역 주소(도로명 주소),역 위치(위도),역 위치(경도)
205,부산교통공사,1호선,당리(사하구청),부산광역시 사하구 낙동대로 지하 405(당리동),35.103532,128.973846
203,부산교통공사,1호선,다대포항,부산시 사하구 다대로 지하 548 다대포항역,35.05782,128.9713
204,부산교통공사,1호선,다대포해수욕장(몰운대),부산시 사하구 다대로 지하 692 다대포해수욕장역,35.04867,128.9641
235,부산교통공사,1호선,범어사,부산광역시 금정구 중앙대로 2107(청룡동),35.273105,129.092679
264,부산교통공사,1호선,연산,부산광역시 연제구 중앙대로 지하 1101,35.186168,129.081534
263,부산교통공사,1호선,양정,부산광역시 부산진구 중앙대로 지하 930,35.173122,129.071366
208,부산교통공사,1호선,대티,부산광역시 사하구 낙동대로 지하 141(괴정동),35.103126,128.999936
260,부산교통공사,1호선,신평,부산광역시 사하구 하신번영로 140(신평동),35.095179,128.960564
259,부산교통공사,1호선,신장림,부산시 사하구 다대로 지하 310 신장림역,35.074433,128.977041
212,부산교통공사,1호선,동대신,부산광역시 서구 구덕로 지하 290,35.110452,129.017684
258,부산교통공사,1호선,시청(연제),부산광역시 연제구 중앙대로 지하 1017 ,35.179837,129.076642
202,부산교통공사,1호선,노포(종합버스터미널),부산광역시 금정구 중앙대로 2238(노포동),35.28468657,129.094967
214,부산교통공사,1호선,동래(한국건강관리협회),부산광역시 동래구 중앙대로 1324,35.205641,129.078506
219,부산교통공사,1호선,두실,부산광역시 금정구 중앙대로 1927(구서동),35.256959,129.091386
249,부산교통공사,1호선,서면,부산광역시 부산진구 중앙대로 지하 730,35.158282,129.059556
247,부산교통공사,1호선,서대신(삼육부산병원),부산광역시 서구 대영로 지하 1,35.110937,129.012178
222,부산교통공사,1호선,명륜,부산광역시 동래구 중앙대로 1414,35.212551,129.079659
246,부산교통공사,1호선,사하,부산광역시 사하구 낙동대로 지하 309(괴정동),35.099847,128.9831
243,부산교통공사,1호선,부전(부산시민공원·송상현광장),부산광역시 부산진구 중앙대로 지하 786,35.162587,129.062952
241,부산교통공사,1호선,부산진(동구청),부산광역시 동구 중앙대로 지하 350,35.127787,129.047894
240,부산교통공사,1호선,부산역,부산광역시 동구 중앙대로 지하 200,35.115224,129.0397
238,부산교통공사,1호선,부산대,부산광역시 금정구 장전온천천로 48(장전동),35.229609,129.089358
236,부산교통공사,1호선,범일,부산광역시 동구 범일로 지하 108,35.140952,129.059352
215,부산교통공사,1호선,동매,부산시 사하구 신산로 지하 168 동매역,35.0899,128.9742
267,부산교통공사,1호선,온천장(우리들병원),부산광역시 동래구 중앙대로 1520,35.220249,129.086437
234,부산교통공사,1호선,범내골,부산광역시 부산진구 중앙대로 지하 612,35.1474,129.059261
199,부산교통공사,1호선,남포(해동병원),부산광역시 중구 구덕로 지하 12,35.097953,129.034869
185,부산교통공사,1호선,교대,부산광역시 연제구 중앙대로 지하 1217,35.19605,129.080035
200,부산교통공사,1호선,낫개,부산시 사하구 다대로 지하 422 낫개역,35.065265,128.979873
285,부산교통공사,1호선,토성,부산광역시 서구 구덕로 지하 170,35.100727,129.019776
279,부산교통공사,1호선,중앙,부산광역시 중구 중앙대로 지하 83,35.103837,129.036371
188,부산교통공사,1호선,구서,부산광역시 금정구 금정로 233번길 46(구서동),35.247407,129.091327
286,부산교통공사,1호선,하단(아트몰링),부산광역시 사하구 낙동남로 지하 1415(하단동),35.10618,128.966803
184,부산교통공사,1호선,괴정,부산광역시 사하구 낙동대로 지하 221(괴정동),35.099816,128.992144
276,부산교통공사,1호선,좌천,부산광역시 동구 중앙대로 지하 446,35.134361,129.054455
283,부산교통공사,1호선,초량,부산광역시 동구 중앙대로 지하 264,35.121168,129.043039
273,부산교통공사,1호선,장전,부산광역시 금정구 장전온천천로 144(장전동),35.23809095,129.088111
195,부산교통공사,1호선,남산,부산광역시 금정구 중앙대로 2019-1,35.265404,129.092496
271,부산교통공사,1호선,장림,부산시 사하구 다대로 지하 230 장림역,35.08109,128.9775
270,부산교통공사,1호선,자갈치,부산광역시 중구 구덕로 지하 80,35.097372,129.02667
288,부산교통공사,2호선,호포,경남 양산시 동면 양산대로 62번,35.280406,129.017097
237,부산교통공사,2호선,벡스코(시립미술관),부산광역시 해운대구 해운대로 지하 396,35.168844,129.138933
242,부산교통공사,2호선,부암(온종합병원),부산광역시 부산진구 가야대로 지하 719,35.157444,129.050185
244,부산교통공사,2호선,사상(서부터미널),부산광역시 사상구 사상로 지하 203,35.162361,128.984621
289,부산교통공사,2호선,화명(더퍼스트피부과의원),부산광역시 북구 금곡대로 지하311,35.236278,129.013918
239,부산교통공사,2호선,부산대양산캠퍼스,경남 양산시 물금읍 메기로 270번,35.316955,129.0139408
287,부산교통공사,2호선,해운대(부민병원),부산광역시 해운대구 해운대로 지하 626,35.163672,129.158908
250,부산교통공사,2호선,서면,부산광역시 부산진구 중앙대로 지하 730,35.15774,129.059084
280,부산교통공사,2호선,증산,경남 양산시 물금읍 메기로 168번,35.308302,129.010246
252,부산교통공사,2호선,"센텀시티(벡스코, 법무법인대륜)",부산광역시 센텀남대로 지하 76,35.168827,129.131745
256,부산교통공사,2호선,수정(방송통신대),부산광역시 북구 금곡대로 지하160,35.223356,129.009198
278,부산교통공사,2호선,중동,부산광역시 해운대구 해운대로 지하 730,35.1667,129.168604
277,부산교통공사,2호선,주례,부산광역시 사상구 가야대로 지하 292,35.150508,129.003077
274,부산교통공사,2호선,전포,부산광역시 부산진구 전포대로 지하 181,35.153102,129.065374
262,부산교통공사,2호선,양산(시청),경남 양산시 강변로 441번,35.33872773,129.026391
272,부산교통공사,2호선,장산(해운대백병원),부산광역시 해운대구 해운대로 지하 820,35.169914,129.176986
269,부산교통공사,2호선,율리,부산광역시 북구 금곡대로 지하440,35.246714,129.012918
281,부산교통공사,2호선,지게골,부산광역시 남구 수영로 지하 70,35.135574,129.074365
176,부산교통공사,2호선,가야,부산광역시 부산진구 가야대로 지하 650,35.155883,129.042817
254,부산교통공사,2호선,수영,부산광역시 수영구 수영로 지하 677(광안동),35.165227,129.114713
216,부산교통공사,2호선,동백,부산광역시 해운대구 해운대로 지하 522,35.161484,129.147897
192,부산교통공사,2호선,금련산,부산광역시 수영구 수영로 지하 482(남천동),35.149771,129.110961
187,부산교통공사,2호선,구명,부산광역시 북구 백양대로 지하1094,35.20252,128.999322
197,부산교통공사,2호선,남양산(범어),경남 양산시 동면 메기로 380번,35.325359,129.019457
198,부산교통공사,2호선,남천(KBS·수영구청),부산광역시 수영구 수영로 지하 410(남천동),35.142139,129.107978
