역번호,역사명,노선명,환승역구분,환승노선명,역사도로명주소,위도,경도
0001,사상,부산김해경전철,환승역,부산김해경전철+부산 도시철도 2호선,부산광역시 사상구 광장로 83,35.162274450,128.985930273
0002,괘법르네시떼,부산김해경전철,일반역,,부산광역시 사상구 광장로 9,35.163261538,128.977682607
0003,서부산유통지구,부산김해경전철,일반역,,부산광역시 강서구 유통단지1로 57번길 7,35.166400848,128.954888495
0004,공항,부산김해경전철,일반역,,부산광역시 강서구 공항진입로 165,35.171906852,128.948586845
0005,덕두,부산김해경전철,일반역,,부산광역시 강서구 경전철로 10,35.182000327,128.954198320
0006,등구,부산김해경전철,일반역,,부산광역시 강서구 경전철로 194,35.196143904,128.963598859
0007,대저,부산김해경전철,환승역,부산김해경전철+부산 도시철도 3호선,부산광역시 강서구 낙동북로 294,35.213073981,128.960563912
0008,평강,부산김해경전철,일반역,,부산광역시 강서구 낙동북로 203,35.214257719,128.950882713
0009,대사,부산김해경전철,일반역,,부산광역시 강서구 낙동북로 82,35.217657248,128.938417292
0010,불암,부산김해경전철,일반역,,경상남도 김해시 김해대로 2787,35.222225595,128.927805216
0011,지내,부산김해경전철,일반역,,경상남도 김해시 김해대로 2718,35.227575360,128.923684633
0012,김해대학,부산김해경전철,일반역,,경상남도 김해시 김해대로 2641,35.228980216,128.915616070
0013,인제대,부산김해경전철,일반역,,경상남도 김해시 김해대로 2515,35.228056038,128.901758792
0014,김해시청,부산김해경전철,일반역,,경상남도 김해시 김해대로 2408,35.227044328,128.890418305
0015,부원,부산김해경전철,일반역,,경상남도 김해시 김해대로 2350,35.226509303,128.883923927
0016,봉황,부산김해경전철,일반역,,경상남도 김해시 김해대로 2249,35.227347127,128.874294867
0017,수로왕릉,부산김해경전철,일반역,,경상남도 김해시 김해대로 2181,35.232810350,128.872156929
0018,박물관,부산김해경전철,일반역,,경상남도 김해시 김해대로 2103,35.240094386,128.871880513
0019,연지공원,부산김해경전철,일반역,,경상남도 김해시 해반천로 5,35.249657077,128.869290797
0020,장신대,부산김해경전철,일반역,,경상남도 김해시 해반천로 129,35.259553407,128.867115055
0021,가야대,부산김해경전철,일반역,,경상남도 김해시 해반천로 211,35.266735890,128.865069910
0095,다대포해수욕장,부산 도시철도 1호선,일반역,,부산광역시 사하구 다대로 지하 692,35.101913323,128.977121764
0096,다대포항,부산 도시철도 1호선,일반역,,부산광역시 사하구 다대로 지하 548,35.101913323,128.977121764
0097,낫개,부산 도시철도 1호선,일반역,,부산광역시 사하구 다대로 지하422,35.101913323,128.977121764
0098,신장림,부산 도시철도 1호선,일반역,,부산광역시 사하구 다대로 지하310,35.101913323,128.977121764
0099,장림,부산 도시철도 1호선,일반역,,부산광역시 사하구 다대로 지하230,35.101913323,128.977121764
0100,동매,부산 도시철도 1호선,일반역,,부산광역시 사하구 신산로 지하168,35.090080383,128.974370421
0101,신평,부산 도시철도 1호선,일반역,,부산광역시 사하구 하신번영로 140,35.094387437,128.960729333
0102,하단,부산 도시철도 1호선,일반역,,부산광역시 사하구 낙동남로 지하 1415,35.107546556,128.963831894
0103,당리,부산 도시철도 1호선,일반역,,부산광역시 사하구 낙동대로 지하 405,35.102928958,128.976675863
0104,사하,부산 도시철도 1호선,일반역,,부산광역시 사하구 낙동대로 지하 309,35.102928958,128.976675863
0105,괴정,부산 도시철도 1호선,일반역,,부산광역시 사하구 낙동대로 지하 221,35.102928958,128.976675863
0106,대티,부산 도시철도 1호선,일반역,,부산광역시 사하구 낙동대로 지하 141,35.102928958,128.976675863
0107,서대신,부산 도시철도 1호선,일반역,,부산광역시 서구 대영로 지하 1,35.112716193,129.015016513
0108,동대신,부산 도시철도 1호선,일반역,,부산광역시 서구 구덕로 지하 290,35.100646778,129.019137669
0109,토성,부산 도시철도 1호선,일반역,,부산광역시 서구 구덕로 지하 170,35.100646778,129.019137669
0110,자갈치,부산 도시철도 1호선,일반역,,부산광역시 중구 구덕로 지하 80,35.098008436,129.032005623
0111,남포,부산 도시철도 1호선,일반역,,부산광역시 중구 구덕로 지하 12,35.098008436,129.032005623
0112,중앙,부산 도시철도 1호선,일반역,,부산광역시 중구 중앙대로 지하 83,35.100475590,129.036559050
0113,부산역,부산 도시철도 1호선,일반역,,부산광역시 동구 중앙대로 지하 200,35.124243740,129.044249407
0114,초량,부산 도시철도 1호선,일반역,,부산광역시 동구 중앙대로 지하 264,35.124243740,129.044249407
0115,부산진,부산 도시철도 1호선,일반역,,부산광역시 동구 중앙대로 지하 350,35.124243740,129.044249407
0116,좌천,부산 도시철도 1호선,일반역,,부산광역시 동구 중앙대로 지하 446,35.124243740,129.044249407
0117,범일,부산 도시철도 1호선,일반역,,부산광역시 동구 범일로 지하 108,35.131837084,129.059365310
0118,범내골,부산 도시철도 1호선,일반역,,부산광역시 부산진구 중앙대로 지하 612,35.176159498,129.074992282
0119,서면,부산 도시철도 1호선,환승역,부산 도시철도 1호선+부산 도시철도 2호선,부산광역시 부산진구 중앙대로 지하 730,35.174581244,129.071763486
0120,부전,부산 도시철도 1호선,일반역,,부산광역시 부산진구 중앙대로 지하 786,35.174581244,129.071763486
0121,양정,부산 도시철도 1호선,일반역,,부산광역시 부산진구 중앙대로 지하930 ,35.174581244,129.071763486
